feat_idx,gene,uniprot,panel,n_seeds,freq,full_name
192,EPHB4,P54760,Cardiometabolic,3,0.3,EPHB4:P54760:OID20242:v1:Cardiometabolic
73,ANXA4,P09525,Cardiometabolic,2,0.2,ANXA4:P09525:OID20123:v1:Cardiometabolic
1827,GPKOW,Q92917,Neurology,2,0.2,GPKOW:Q92917:OID20890:v1:Neurology
2905,IFNAR1,P17181,OncologyII,2,0.2,IFNAR1:P17181:OID31491:v1:OncologyII
2858,MCTS1,Q9ULC4,OncologyII,2,0.2,MCTS1:Q9ULC4:OID31444:v1:OncologyII
2829,DYNLT3,P51808,OncologyII,2,0.2,DYNLT3:P51808:OID31415:v1:OncologyII
1935,FARSA,Q9Y285,NeurologyII,2,0.2,FARSA:Q9Y285:OID30887:v1:NeurologyII
72,AK1,P00568,Cardiometabolic,2,0.2,AK1:P00568:OID20122:v1:Cardiometabolic
1960,PDRG1,Q9NUG6,NeurologyII,2,0.2,PDRG1:Q9NUG6:OID30912:v1:NeurologyII
418,MEGF11,A6BM72,CardiometabolicII,2,0.2,MEGF11:A6BM72:OID30099:v1:CardiometabolicII
2776,IL2RG,P31785,OncologyII,2,0.2,IL2RG:P31785:OID31361:v1:OncologyII
2602,GJA8,P48165,OncologyII,2,0.2,GJA8:P48165:OID31187:v1:OncologyII
2598,STOML2,Q9UJZ1,OncologyII,2,0.2,STOML2:Q9UJZ1:OID31183:v1:OncologyII
495,CSRP3,P50461,CardiometabolicII,2,0.2,CSRP3:P50461:OID30176:v1:CardiometabolicII
2556,CREG1,O75629,Oncology,2,0.2,CREG1:O75629:OID21515:v1:Oncology
523,AIF1L,Q9BQI0,CardiometabolicII,2,0.2,AIF1L:Q9BQI0:OID30204:v1:CardiometabolicII
2489,NUCB2,P80303,Oncology,2,0.2,NUCB2:P80303:OID21448:v1:Oncology
543,EDN1,P05305,CardiometabolicII,2,0.2,EDN1:P05305:OID30224:v1:CardiometabolicII
1123,POLR2A,P24928,InflammationII,2,0.2,POLR2A:P24928:OID30440:v1:InflammationII
2480,MMP12,P39900,Oncology,2,0.2,MMP12:P39900:OID21439:v1:Oncology
2104,AZI2,Q9H6S1,NeurologyII,2,0.2,AZI2:Q9H6S1:OID31056:v1:NeurologyII
2109,GIGYF2,Q6Y7W6,NeurologyII,2,0.2,GIGYF2:Q6Y7W6:OID31062:v1:NeurologyII
2392,ICOSLG,O75144,Oncology,2,0.2,ICOSLG:O75144:OID21351:v1:Oncology
