coding,col,n_total,n_pos,prevalence
I10,Union#I10#I10 Essential (primary) hypertension,39257,20315,0.5174873271008992
Block I10-I15,Union#Block I10-I15#I10-I15 Hypertensive diseases,34885,15943,0.4570159094166547
Block I30-I52,Union#Block I30-I52#I30-I52 Other forms of heart disease,27354,8412,0.30752357973239747
Block I20-I25,Union#Block I20-I25#I20-I25 Ischaemic heart diseases,25530,6588,0.2580493537015276
Block I80-I89,Union#Block I80-I89#I80-I89 Diseases of veins| lymphatic vessels and lymph nodes| not elsewhere classified,25095,6153,0.24518828451882846
I25,Union#I25#I25 Chronic ischaemic heart disease,24700,5758,0.2331174089068826
I48,Union#I48#I48 Atrial fibrillation and flutter,23521,4579,0.19467709706219974
I519,Union#I519#I51.9 Heart disease| unspecified,23058,4116,0.1785063752276867
I20,Union#I20#I20 Angina pectoris,22963,4021,0.17510778208422245
I251,Union#I251#I25.1 Atherosclerotic heart disease,22941,3999,0.17431672551327318
I209,Union#I209#I20.9 Angina pectoris| unspecified,22527,3585,0.15914236249833533
I259,Union#I259#I25.9 Chronic ischaemic heart disease| unspecified,22431,3489,0.15554366724622173
Block I60-I69,Union#Block I60-I69#I60-I69 Cerebrovascular diseases,22247,3305,0.14855935631770575
I21,Union#I21#I21 Acute myocardial infarction,22065,3123,0.1415363698164514
I84,Union#I84#I84 Haemorrhoids,22009,3067,0.1393520832386751
I489,Union#I489#I48.9 Atrial fibrillation and atrial flutter|  unspecified,21854,2912,0.13324791800128122
I51,Union#I51#I51 Complications and ill-defined descriptions of heart disease,21698,2756,0.12701631486772974
I83,Union#I83#I83 Varicose veins of lower extremities,21539,2597,0.12057198570035749
I95,Union#I95#I95 Hypotension,21469,2527,0.11770459732637757
I50,Union#I50#I50 Heart failure,21460,2518,0.11733457595526561
Block I70-I79,Union#Block I70-I79#I70-I79 Diseases of arteries| arterioles and capillaries,21368,2426,0.11353425683264695
Block I95-I99,Union#Block I95-I99#I95-I99 Other and unspecified disorders of the circulatory system,21365,2423,0.11340978235431781
I252,Union#I252#I25.2 Old myocardial infarction,21131,2189,0.10359187922956793
I64,Union#I64#I64 Stroke| not specified as haemorrhage or infarction,21058,2116,0.10048437648399658
I80,Union#I80#I80 Phlebitis and thrombophlebitis,21005,2063,0.09821471078314686
I49,Union#I49#I49 Other cardiac arrhythmias,20903,1961,0.09381428503085681
I219,Union#I219#I21.9 Acute myocardial infarction| unspecified,20798,1856,0.089239349937494
Block I26-I28,Union#Block I26-I28#I26-I28 Pulmonary heart disease and diseases of pulmonary circulation,20774,1832,0.08818715702320208
I849,Union#I849#I84.9 Unspecified haemorrhoids without complication,20670,1728,0.08359941944847606
I73,Union#I73#I73 Other peripheral vascular diseases,20651,1709,0.08275628298871725
I839,Union#I839#I83.9 Varicose veins of lower extremities without ulcer or inflammation,20546,1604,0.07806872383919011
