rank,seed42_I11_gene,seed42_I11_uniprot,seed42_I11_full,seed42_I119_gene,seed42_I119_uniprot,seed42_I119_full,seed42_I129_gene,seed42_I129_uniprot,seed42_I129_full,seed42_I80_gene,seed42_I80_uniprot,seed42_I80_full,seed1_I11_gene,seed1_I11_uniprot,seed1_I11_full,seed1_I119_gene,seed1_I119_uniprot,seed1_I119_full,seed1_I129_gene,seed1_I129_uniprot,seed1_I129_full,seed1_I80_gene,seed1_I80_uniprot,seed1_I80_full,seed2_I11_gene,seed2_I11_uniprot,seed2_I11_full,seed2_I119_gene,seed2_I119_uniprot,seed2_I119_full,seed2_I129_gene,seed2_I129_uniprot,seed2_I129_full,seed2_I80_gene,seed2_I80_uniprot,seed2_I80_full
1,CEND1,Q8N111,CEND1:Q8N111:OID30821:v1:NeurologyII,CEND1,Q8N111,CEND1:Q8N111:OID30821:v1:NeurologyII,CEND1,Q8N111,CEND1:Q8N111:OID30821:v1:NeurologyII,CEND1,Q8N111,CEND1:Q8N111:OID30821:v1:NeurologyII,CGB3_CGB5_CGB8,P0DN86,CGB3_CGB5_CGB8:P0DN86:OID30671:v1:InflammationII,CGB3_CGB5_CGB8,P0DN86,CGB3_CGB5_CGB8:P0DN86:OID30671:v1:InflammationII,CGB3_CGB5_CGB8,P0DN86,CGB3_CGB5_CGB8:P0DN86:OID30671:v1:InflammationII,CGB3_CGB5_CGB8,P0DN86,CGB3_CGB5_CGB8:P0DN86:OID30671:v1:InflammationII,CXCL8,P10145,CXCL8:P10145:OID20631:v1:Inflammation,CXCL8,P10145,CXCL8:P10145:OID20631:v1:Inflammation,CXCL8,P10145,CXCL8:P10145:OID20631:v1:Inflammation,CXCL8,P10145,CXCL8:P10145:OID20631:v1:Inflammation
2,XPNPEP2,O43895,XPNPEP2:O43895:OID21508:v1:Oncology,XPNPEP2,O43895,XPNPEP2:O43895:OID21508:v1:Oncology,XPNPEP2,O43895,XPNPEP2:O43895:OID21508:v1:Oncology,XPNPEP2,O43895,XPNPEP2:O43895:OID21508:v1:Oncology,AP3S2,P59780,AP3S2:P59780:OID31117:v1:NeurologyII,AP3S2,P59780,AP3S2:P59780:OID31117:v1:NeurologyII,AP3S2,P59780,AP3S2:P59780:OID31117:v1:NeurologyII,AP3S2,P59780,AP3S2:P59780:OID31117:v1:NeurologyII,ARTN,Q5T4W7,ARTN:Q5T4W7:OID20446:v1:Inflammation,ARTN,Q5T4W7,ARTN:Q5T4W7:OID20446:v1:Inflammation,ARTN,Q5T4W7,ARTN:Q5T4W7:OID20446:v1:Inflammation,ARTN,Q5T4W7,ARTN:Q5T4W7:OID20446:v1:Inflammation
3,AZI2,Q9H6S1,AZI2:Q9H6S1:OID31056:v1:NeurologyII,AZI2,Q9H6S1,AZI2:Q9H6S1:OID31056:v1:NeurologyII,AZI2,Q9H6S1,AZI2:Q9H6S1:OID31056:v1:NeurologyII,AZI2,Q9H6S1,AZI2:Q9H6S1:OID31056:v1:NeurologyII,LSM8,O95777,LSM8:O95777:OID31269:v1:OncologyII,LSM8,O95777,LSM8:O95777:OID31269:v1:OncologyII,LSM8,O95777,LSM8:O95777:OID31269:v1:OncologyII,LSM8,O95777,LSM8:O95777:OID31269:v1:OncologyII,LBP,P18428,LBP:P18428:OID20355:v1:Cardiometabolic,LBP,P18428,LBP:P18428:OID20355:v1:Cardiometabolic,LBP,P18428,LBP:P18428:OID20355:v1:Cardiometabolic,LBP,P18428,LBP:P18428:OID20355:v1:Cardiometabolic
4,REPS1,Q96D71,REPS1:Q96D71:OID30496:v1:InflammationII,REPS1,Q96D71,REPS1:Q96D71:OID30496:v1:InflammationII,REPS1,Q96D71,REPS1:Q96D71:OID30496:v1:InflammationII,REPS1,Q96D71,REPS1:Q96D71:OID30496:v1:InflammationII,CSF1R,P07333,CSF1R:P07333:OID30681:v1:InflammationII,CSF1R,P07333,CSF1R:P07333:OID30681:v1:InflammationII,CSF1R,P07333,CSF1R:P07333:OID30681:v1:InflammationII,CSF1R,P07333,CSF1R:P07333:OID30681:v1:InflammationII,HSPA2,P54652,HSPA2:P54652:OID31424:v1:OncologyII,HSPA2,P54652,HSPA2:P54652:OID31424:v1:OncologyII,HSPA2,P54652,HSPA2:P54652:OID31424:v1:OncologyII,HSPA2,P54652,HSPA2:P54652:OID31424:v1:OncologyII
5,HCG22,E2RYF7,HCG22:E2RYF7:OID30088:v1:CardiometabolicII,HCG22,E2RYF7,HCG22:E2RYF7:OID30088:v1:CardiometabolicII,HCG22,E2RYF7,HCG22:E2RYF7:OID30088:v1:CardiometabolicII,HCG22,E2RYF7,HCG22:E2RYF7:OID30088:v1:CardiometabolicII,KIR3DL2,P43630,KIR3DL2:P43630:OID31191:v1:OncologyII,KIR3DL2,P43630,KIR3DL2:P43630:OID31191:v1:OncologyII,KIR3DL2,P43630,KIR3DL2:P43630:OID31191:v1:OncologyII,KIR3DL2,P43630,KIR3DL2:P43630:OID31191:v1:OncologyII,TPPP2,P59282,TPPP2:P59282:OID31274:v1:OncologyII,TPPP2,P59282,TPPP2:P59282:OID31274:v1:OncologyII,TPPP2,P59282,TPPP2:P59282:OID31274:v1:OncologyII,TPPP2,P59282,TPPP2:P59282:OID31274:v1:OncologyII
6,MUC13,Q9H3R2,MUC13:Q9H3R2:OID20866:v1:Neurology,MUC13,Q9H3R2,MUC13:Q9H3R2:OID20866:v1:Neurology,MUC13,Q9H3R2,MUC13:Q9H3R2:OID20866:v1:Neurology,MUC13,Q9H3R2,MUC13:Q9H3R2:OID20866:v1:Neurology,ERN1,O75460,ERN1:O75460:OID31391:v1:OncologyII,ERN1,O75460,ERN1:O75460:OID31391:v1:OncologyII,ERN1,O75460,ERN1:O75460:OID31391:v1:OncologyII,ERN1,O75460,ERN1:O75460:OID31391:v1:OncologyII,MPHOSPH8,Q99549,MPHOSPH8:Q99549:OID20092:v1:Cardiometabolic,MPHOSPH8,Q99549,MPHOSPH8:Q99549:OID20092:v1:Cardiometabolic,MPHOSPH8,Q99549,MPHOSPH8:Q99549:OID20092:v1:Cardiometabolic,MPHOSPH8,Q99549,MPHOSPH8:Q99549:OID20092:v1:Cardiometabolic
7,APOF,Q13790,APOF:Q13790:OID30701:v1:InflammationII,APOF,Q13790,APOF:Q13790:OID30701:v1:InflammationII,APOF,Q13790,APOF:Q13790:OID30701:v1:InflammationII,APOF,Q13790,APOF:Q13790:OID30701:v1:InflammationII,RHOC,P08134,RHOC:P08134:OID20950:v1:Neurology,RHOC,P08134,RHOC:P08134:OID20950:v1:Neurology,RHOC,P08134,RHOC:P08134:OID20950:v1:Neurology,RHOC,P08134,RHOC:P08134:OID20950:v1:Neurology,FKBPL,Q9UIM3,FKBPL:Q9UIM3:OID31499:v1:OncologyII,FKBPL,Q9UIM3,FKBPL:Q9UIM3:OID31499:v1:OncologyII,FKBPL,Q9UIM3,FKBPL:Q9UIM3:OID31499:v1:OncologyII,FKBPL,Q9UIM3,FKBPL:Q9UIM3:OID31499:v1:OncologyII
8,LAT,O43561,LAT:O43561:OID20640:v1:Inflammation,LAT,O43561,LAT:O43561:OID20640:v1:Inflammation,LAT,O43561,LAT:O43561:OID20640:v1:Inflammation,LAT,O43561,LAT:O43561:OID20640:v1:Inflammation,CTSD,P07339,CTSD:P07339:OID20358:v1:Cardiometabolic,CTSD,P07339,CTSD:P07339:OID20358:v1:Cardiometabolic,CTSD,P07339,CTSD:P07339:OID20358:v1:Cardiometabolic,CTSD,P07339,CTSD:P07339:OID20358:v1:Cardiometabolic,PDXDC1,Q6P996,PDXDC1:Q6P996:OID31226:v1:OncologyII,PDXDC1,Q6P996,PDXDC1:Q6P996:OID31226:v1:OncologyII,PDXDC1,Q6P996,PDXDC1:Q6P996:OID31226:v1:OncologyII,PDXDC1,Q6P996,PDXDC1:Q6P996:OID31226:v1:OncologyII
9,C1QTNF9,P0C862,C1QTNF9:P0C862:OID30620:v1:InflammationII,C1QTNF9,P0C862,C1QTNF9:P0C862:OID30620:v1:InflammationII,C1QTNF9,P0C862,C1QTNF9:P0C862:OID30620:v1:InflammationII,C1QTNF9,P0C862,C1QTNF9:P0C862:OID30620:v1:InflammationII,SPP1,P10451,SPP1:P10451:OID20322:v1:Cardiometabolic,SPP1,P10451,SPP1:P10451:OID20322:v1:Cardiometabolic,SPP1,P10451,SPP1:P10451:OID20322:v1:Cardiometabolic,SPP1,P10451,SPP1:P10451:OID20322:v1:Cardiometabolic,PDRG1,Q9NUG6,PDRG1:Q9NUG6:OID30912:v1:NeurologyII,PDRG1,Q9NUG6,PDRG1:Q9NUG6:OID30912:v1:NeurologyII,PDRG1,Q9NUG6,PDRG1:Q9NUG6:OID30912:v1:NeurologyII,PDRG1,Q9NUG6,PDRG1:Q9NUG6:OID30912:v1:NeurologyII
10,FGFBP3,Q8TAT2,FGFBP3:Q8TAT2:OID31108:v1:NeurologyII,FGFBP3,Q8TAT2,FGFBP3:Q8TAT2:OID31108:v1:NeurologyII,FGFBP3,Q8TAT2,FGFBP3:Q8TAT2:OID31108:v1:NeurologyII,FGFBP3,Q8TAT2,FGFBP3:Q8TAT2:OID31108:v1:NeurologyII,SH3GL3,Q99963,SH3GL3:Q99963:OID31334:v1:OncologyII,SH3GL3,Q99963,SH3GL3:Q99963:OID31334:v1:OncologyII,SH3GL3,Q99963,SH3GL3:Q99963:OID31334:v1:OncologyII,SH3GL3,Q99963,SH3GL3:Q99963:OID31334:v1:OncologyII,PGLYRP4,Q96LB8,PGLYRP4:Q96LB8:OID30101:v1:CardiometabolicII,PGLYRP4,Q96LB8,PGLYRP4:Q96LB8:OID30101:v1:CardiometabolicII,PGLYRP4,Q96LB8,PGLYRP4:Q96LB8:OID30101:v1:CardiometabolicII,PGLYRP4,Q96LB8,PGLYRP4:Q96LB8:OID30101:v1:CardiometabolicII
