rank,seed42_gene,seed42_uniprot,seed42_panel,seed1_gene,seed1_uniprot,seed1_panel,seed2_gene,seed2_uniprot,seed2_panel
1,CEND1,Q8N111,NeurologyII,CGB3_CGB5_CGB8,P0DN86,InflammationII,CXCL8,P10145,Inflammation
2,XPNPEP2,O43895,Oncology,AP3S2,P59780,NeurologyII,ARTN,Q5T4W7,Inflammation
3,AZI2,Q9H6S1,NeurologyII,LSM8,O95777,OncologyII,LBP,P18428,Cardiometabolic
4,REPS1,Q96D71,InflammationII,CSF1R,P07333,InflammationII,HSPA2,P54652,OncologyII
5,HCG22,E2RYF7,CardiometabolicII,KIR3DL2,P43630,OncologyII,TPPP2,P59282,OncologyII
6,MUC13,Q9H3R2,Neurology,ERN1,O75460,OncologyII,MPHOSPH8,Q99549,Cardiometabolic
7,APOF,Q13790,InflammationII,RHOC,P08134,Neurology,FKBPL,Q9UIM3,OncologyII
8,LAT,O43561,Inflammation,CTSD,P07339,Cardiometabolic,PDXDC1,Q6P996,OncologyII
9,C1QTNF9,P0C862,InflammationII,SPP1,P10451,Cardiometabolic,PDRG1,Q9NUG6,NeurologyII
10,FGFBP3,Q8TAT2,NeurologyII,SH3GL3,Q99963,OncologyII,PGLYRP4,Q96LB8,CardiometabolicII
11,NECTIN1,Q15223,InflammationII,PPP2R5A,Q15172,OncologyII,LAT2,Q9GZY6,Oncology
12,DNMBP,Q6XZF7,Neurology,CREG1,O75629,Oncology,NPR1,P16066,CardiometabolicII
13,PCDHB15,Q9Y5E8,OncologyII,IL17A,Q16552,Inflammation,KIAA0319,Q5VV43,NeurologyII
14,MIF,P14174,Neurology,ST8SIA1,Q92185,InflammationII,ADGRE2,Q9UHX3,Inflammation
15,CSF2,P04141,CardiometabolicII,CA14,Q9ULX7,Oncology,NUCB2,P80303,Oncology
16,TXNDC15,Q96J42,Oncology,MRPS16,Q9Y3D3,InflammationII,SEL1L,Q9UBV2,CardiometabolicII
17,DOC2B,Q14184,NeurologyII,STX6,O43752,Oncology,IL15RA,Q13261,Inflammation
18,DSCAM,O60469,NeurologyII,CLTA,P09496,Cardiometabolic,NFKB2,Q00653,OncologyII
19,SIGLEC9,Q9Y336,Oncology,LRRC38,Q5VT99,NeurologyII,STOML2,Q9UJZ1,OncologyII
20,DSG2,Q14126,Neurology,SFTPA2,Q8IWL1,Oncology,AZI2,Q9H6S1,NeurologyII
21,ICOSLG,O75144,Oncology,SCARB1,Q8WTV0,Neurology,GLI2,P10070,InflammationII
22,SCRG1,O75711,CardiometabolicII,ITIH1,P19827,InflammationII,PODXL,O00592,Oncology
23,TPPP3,Q9BW30,Neurology,RAB39B,Q96DA2,CardiometabolicII,TNFRSF9,Q07011,Neurology
24,TIMP3,P35625,Inflammation,LILRA2,Q8N149,Neurology,ACTN2,P35609,CardiometabolicII
25,CNTN5,O94779,Neurology,SLC4A1,P02730,CardiometabolicII,TXLNA,P40222,Neurology
26,ATRN,O75882-2,InflammationII,MFAP3L,O75121,NeurologyII,RABEPK,Q7Z6M1,Oncology
27,CCL11,P51671,Inflammation,CBS,P35520,CardiometabolicII,UBQLN3,Q9H347,CardiometabolicII
28,DENR,O43583,InflammationII,DUSP13,Q6B8I1,OncologyII,COLEC12,Q5KU26,Inflammation
29,ADGRF5,Q8IZF2,CardiometabolicII,RTBDN,Q9BSG5,Oncology,DDX58,O95786,Oncology
30,F12,P00748,InflammationII,KLRF1,Q9NZS2,InflammationII,GC,P02774,InflammationII
31,CLEC6A,Q6EIG7,Oncology,CXCL1,P09341,Inflammation,NFASC,O94856,Inflammation
32,AMOTL2,Q9Y2J4,OncologyII,MCEE,Q96PE7,NeurologyII,ALPP,P05187,Oncology
33,FBN2,P35556,NeurologyII,IL2RG,P31785,OncologyII,GOLM2,Q6P4E1,Neurology
34,SUMF2,Q8NBJ7,Neurology,CNGB3,Q9NQW8,NeurologyII,PRCP,P42785,Cardiometabolic
35,TREH,O43280,CardiometabolicII,PPL,O60437,InflammationII,NFKBIE,O00221,Oncology
36,APOA2,P02652,InflammationII,F12,P00748,InflammationII,EPHB4,P54760,Cardiometabolic
37,IFNL2,Q8IZJ0,NeurologyII,IGFBP7,Q16270,Cardiometabolic,SFTPA1,Q8IWL2,Oncology
38,NEDD4L,Q96PU5,InflammationII,MCTS1,Q9ULC4,OncologyII,TPR,P12270,CardiometabolicII
39,MAN1A2,O60476,CardiometabolicII,FARSA,Q9Y285,NeurologyII,CTHRC1,Q96CG8,CardiometabolicII
40,EFEMP1,Q12805,Cardiometabolic,APBB1IP,Q7Z5R6,Oncology,LCP1,P13796,CardiometabolicII
41,MIA,Q16674,Oncology,CA12,O43570,Oncology,SMARCA2,P51531,Neurology
42,MMP12,P39900,Oncology,ROBO1,Q9Y6N7,Inflammation,IMPACT,Q9P2X3,NeurologyII
43,FOSB,P53539,Neurology,FAM3C,Q92520,Cardiometabolic,CPA4,Q9UI42,InflammationII
44,NPDC1,Q9NQX5,Cardiometabolic,CCL23,P55773,Inflammation,CA8,P35219,InflammationII
45,CRELD1,Q96HD1,InflammationII,GAL,P22466,Inflammation,EZR,P15311,Neurology
46,ECI2,O75521,CardiometabolicII,TGFBR3,Q03167,Cardiometabolic,GPKOW,Q92917,Neurology
47,KIAA0319,Q5VV43,NeurologyII,PDRG1,Q9NUG6,NeurologyII,SERPINF1,P36955,InflammationII
48,PTPRF,P10586,Cardiometabolic,IL4R,P24394,Inflammation,VSIR,Q9H7M9,Cardiometabolic
49,TDRKH,Q9Y2W6,Neurology,IDO1,P14902,InflammationII,TREML2,Q5T2D2,Neurology
50,MYH7B,A7E2Y1,OncologyII,CD2,P06729,CardiometabolicII,HEPH,Q9BQS7,CardiometabolicII
